feature,importance,std
mileage_num,282.91934702419746,42.07556798595994
year_num,149.35167722581636,33.33187371097529
vehicle_age,116.0361602611063,29.04563613842663
make,85.49426200318075,16.10801215647842
model,15.318609985555849,6.346317108082552
state,-1.4551915228366853e-12,1.091393642127514e-12
zip_code,-1.4551915228366853e-12,7.275957614183426e-13
city,-1.6370904631912709e-12,5.45696821063757e-13
color,-2.1827872842550277e-12,1.361207027648176e-12
transmission,-12.312774985069519,13.640833727132307
